country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,Notes 2000,Source 2000,Notes 2001,Source 2001,Notes 2002,Source 2002,Notes 2003,Source 2003,Notes 2004,Source 2004,Notes 2005,Source 2005,Notes 2006,Source 2006,Notes 2007,Source 2007,Notes 2008,Source 2008,Notes 2009,Source 2009,Notes 2010,Source 2010,Notes 2011,Source 2011,Notes 2012,Source 2012,Notes 2013,Source 2013,Notes 2014,Source 2014,Notes 2015,Source 2015,Notes 2016,Source 2016
Afghanistan,,0,0,0.09,0.11,1.22,2.11,1.9,1.84,3.55,4,5,5.45,5.9,7,8.26,10.6,10.6,,,,ITU estimate.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,"ITU estimate.
ITU estimate.
ITU estimate.",,Ministry of Communications & Information Technology,,Ministry of Communications & Information Technology,,ITU estimate. ,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Albania,0.11,0.33,0.39,0.97,2.42,6.04,9.61,15.04,23.86,41.2,45,49,54.66,57.2,60.1,63.25,66.36,10.6,,Albanian Telecom Enterprise.,,Albanian Telecom Enterprise.,,Albanian Telecom Enterprise.,,Ministry of Transport and Telecommunications.,,Ministry of Transport and Telecommunications.,,Ministry of Transport and Telecommunications.,,ITU estimate. ,,ITU estimate.,,Minister for Innovation and ICT,,Minister for Innovation and ICT,,Minister for Innovation and ICT,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Algeria,0.49,0.65,1.59,2.2,4.63,5.84,7.38,9.45,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.95,10.6,,,,,,,,,,,,,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télécommunications,,Autorité de Régulation de la Poste et des Télécommunications,,Autorité de Régulation de la Poste et des Télécommunications,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
American Samoa,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,10.54,,11.26,13.55,26.84,37.61,48.94,70.87,70.04,78.53,81,81,86.43,94,95.9,96.91,97.93,10.6,,Servei de Telecomunicacions d'Andorra (STA).,,,,Servei de Telecomunicacions d'Andorra (STA).,,Servei de Telecomunicacions d'Andorra (STA).,,Servei de Telecomunicacions d'Andorra (STA).,,Servei de Telecomunicacions d'Andorra (STA).,,Servei de Telecomunicacions d'Andorra (STA).,,Andorra Telecom,,Andorra Telecom,,Andorra Telecom,,Servei de Telecomunicacions d'Andorra,,Servei de Telecomunicacions d'Andorra,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Angola,0.11,0.14,0.27,0.37,0.46,1.14,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13,10.6,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,2014 Census. Share of population aged 5+ accessing the Internet in the past 12 months. ,Instituto Nacional de Estatística.,,ITU Estimate.,,ITU Estimate.
Anguilla,22.41,25.88,24.8,24.52,25.04,29,36,41,44,48,49.6,53.64,59.21,64.8,70.39,75.98,81.57,10.6,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Antigua & Barbuda,6.48,8.9,12.5,17.23,24.27,27,30,34,38,42,47,52,58,63.4,67.78,70,73,10.6,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,ITU estimate.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,ITU estimate.,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,Population age 5+. Census.,"Statistics Division, Census.",,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Argentina,7.04,9.78,10.88,11.91,16.04,17.72,20.93,25.95,28.11,34,45,51,55.8,59.9,64.7,68.04,70.97,10.6,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,SECOM.,,Comisión Nacional de Comunicaciones,,ITU estimate.,Population aged 10+. Estimated based on survey results for urban population.,ITU estimate based on INDEC's survey.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Instituto Nacional de Estadistica y Censos.,,Instituto Nacional de Estadistica y Censos.
Armenia,1.3,1.63,1.96,4.58,4.9,5.25,5.63,6.02,6.21,15.3,25,32,37.5,41.9,54.62,64.35,67,10.6,,,,,,,,,,,,,,,,ITU estimate.,,Ministry of Transport and Communications,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,All population.,National Statistical Service,All population,National Statistical Service,,National Statistical Service.,,ITU estimate.
Aruba,15.44,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66,93.54,10.6,,Servicio di Telecomunicacion di Aruba (SETAR).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Ascension,34.94,38.17,,,,,,33,33,33,35,36,41.03,,,,,10.6,,Cable & Wireless plc. (C&W).,Data refer to 31st December.,Cable & Wireless plc. (C&W).,,,,,,,,,,,,Cable & Wireless,,Cable & Wireless,,Cable & Wireless,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd,,ITU estimate.,,,,,,,,
Australia,46.76,52.69,,,,63,66,69.45,71.67,74.25,76,79.49,79,83.45,84,84.56,88.24,10.6,,ABS Household Use of Information Technology Survey.,,ITU estimate.,,,,,,,Population age 15+.,Australian Bureau of Statistics.,Population age 15+.,Australian Bureau of Statistics. ,Population age 15+.,Australian Bureau of Statistics.,Population age 15+.,Australian Bureau of Statistics.,Population age 15+.,Australian Bureau of Statistics.,,ITU estimate.,Individuals aged 15 years and over,Australian Bureau of Statistics," 
Individuals aged 15 years and over",Australian Bureau of Statistics,Population age 15+.,Australian Bureau of Statistics,,ITU estimate.,Population age 15+.,Australian Bureau of Statistics,,ITU Estimate.
Austria,33.73,39.19,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.74,80.03,80.62,81,83.94,84.32,10.6,"Regular users of the Internet, Population age 14+.",Austria Internet Monitor.,"Regular users of the Internet, Population age 14+.",Austria Internet Monitor.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat., Users in the last 3 months. Age 16-74.,Eurostat., Users in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Statistik Austria.,Population age 16-74.,Statistik Austria.,,Statistik Austria.
Azerbaijan,0.15,0.31,5,,,8.03,11.99,14.54,17.08,27.4,46,50,54.2,73,75,77,78.2,10.6,,,,,,,,,,,,,,,,ITU estimate.,Population age 7+.,State Statistical Committee,Population age 7+.,State Statistical Committee,Population age 7+.,State Statistical Committee,Population age 7+.,ITU estimate.,,ITU estimate.,Population age 7+.,State Statistical Committee of Azerbaijan Republic,Population age 7+.,State Statistical Committee of the Republic of Azerbaijan,Population age 7+.,State Statistical Committee of the Republic of Azerbaijan,,State Statistical Committee of the Republic of Azerbaijan.
